School Code,School,Attendance Year,School Type,School Category,Remoteness Area,Region,Local Government Area,State Electorate,FTE Days Attended,Possible Attendance Days,Attendance Rate
192,MacGregor State School,2019,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Toohey,122923.5,128430,95.70%
758,Machans Beach State School,2015,State School,Primary,Outer Regional Australia,Far North Queensland,Cairns (R),Barron River,5647.5,6467,87.30%
758,Machans Beach State School,2016,State School,Primary,Outer Regional Australia,Far North Queensland,Cairns (R),Barron River,4865.5,5670.5,85.80%
758,Machans Beach State School,2017,State School,Primary,Outer Regional Australia,Far North Queensland,Cairns (R),Barron River,8469,9299.5,91.10%
758,Machans Beach State School,2018,State School,Primary,Outer Regional Australia,Far North Queensland,Cairns (R),Barron River,10211,11391,89.60%
758,Machans Beach State School,2019,State School,Primary,Outer Regional Australia,Far North Queensland,Cairns (R),Barron River,11091.5,12400,89.40%
71,Mackay Central State School,2015,State School,Primary,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,14707.5,15720,93.60%
71,Mackay Central State School,2016,State School,Primary,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,14783.5,15914,92.90%
71,Mackay Central State School,2017,State School,Primary,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,14670.5,15758,93.10%
71,Mackay Central State School,2018,State School,Primary,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,15333,16850,91.00%
71,Mackay Central State School,2019,State School,Primary,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,16682,18506,90.10%
3082,Mackay District Special School,2015,Special School,Special,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,7556,8348,90.50%
3082,Mackay District Special School,2016,Special School,Special,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,8013,8610,93.10%
3082,Mackay District Special School,2017,Special School,Special,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,7860.5,8709,90.30%
3082,Mackay District Special School,2018,Special School,Special,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,7926,9441.5,83.90%
3082,Mackay District Special School,2019,Special School,Special,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,6503.5,7933.5,82.00%
2096,Mackay North State High School,2015,State High School,Secondary,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,121524.5,135018,90.00%
2096,Mackay North State High School,2016,State High School,Secondary,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,114291,126813,90.10%
2096,Mackay North State High School,2017,State High School,Secondary,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,113908.5,125391.5,90.80%
2096,Mackay North State High School,2018,State High School,Secondary,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,114535.5,127633,89.70%
2096,Mackay North State High School,2019,State High School,Secondary,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,112385,125626,89.50%
746,Mackay North State School,2015,State School,Primary,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,34050.5,36398.5,93.50%
746,Mackay North State School,2016,State School,Primary,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,34905,37200.5,93.80%
746,Mackay North State School,2017,State School,Primary,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,35353,38029.5,93.00%
746,Mackay North State School,2018,State School,Primary,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,38341,41439.5,92.50%
746,Mackay North State School,2019,State School,Primary,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,36394.5,39516,92.10%
7873,Mackay Northern Beaches State High School,2015,State High School,Secondary,Inner Regional Australia,Central Queensland,Mackay (R),Whitsunday,47126.5,51785,91.00%
7873,Mackay Northern Beaches State High School,2016,State High School,Secondary,Inner Regional Australia,Central Queensland,Mackay (R),Whitsunday,59769.5,65707.5,91.00%
7873,Mackay Northern Beaches State High School,2017,State High School,Secondary,Inner Regional Australia,Central Queensland,Mackay (R),Whitsunday,71559.5,78290.5,91.40%
7873,Mackay Northern Beaches State High School,2018,State High School,Secondary,Inner Regional Australia,Central Queensland,Mackay (R),Whitsunday,83312,92911,89.70%
7873,Mackay Northern Beaches State High School,2019,State High School,Secondary,Inner Regional Australia,Central Queensland,Mackay (R),Whitsunday,80303,90171.5,89.10%
2009,Mackay State High School,2015,State High School,Secondary,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,99441,110776,89.80%
2009,Mackay State High School,2016,State High School,Secondary,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,89055,100362,88.70%
2009,Mackay State High School,2017,State High School,Secondary,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,85046,95021,89.50%
2009,Mackay State High School,2018,State High School,Secondary,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,94724,105385,89.90%
2009,Mackay State High School,2019,State High School,Secondary,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,91372.5,102520.5,89.10%
501,Mackay West State School,2015,State School,Primary,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,69240,74339,93.10%
501,Mackay West State School,2016,State School,Primary,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,64435,68482,94.10%
501,Mackay West State School,2017,State School,Primary,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,57489.5,61604,93.30%
501,Mackay West State School,2018,State School,Primary,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,61675.5,66103.5,93.30%
501,Mackay West State School,2019,State School,Primary,Inner Regional Australia,Central Queensland,Mackay (R),Mackay,57529,61850.5,93.00%
101,Mackenzie River State School,2015,State School,Primary,Remote Australia,Central Queensland,Isaac (R),Gregory,896,960,93.30%
101,Mackenzie River State School,2016,State School,Primary,Remote Australia,Central Queensland,Isaac (R),Gregory,269,282,95.40%
608,Mackenzie State Primary School,2015,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Mansfield,4000.5,4250,94.10%
608,Mackenzie State Primary School,2016,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Mansfield,6416.5,6857,93.60%
608,Mackenzie State Primary School,2017,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Mansfield,10474.5,11017,95.10%
608,Mackenzie State Primary School,2018,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Mansfield,12591.5,13253,95.00%
608,Mackenzie State Primary School,2019,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Mansfield,12688.5,13513,93.90%
3012,Mackenzie State Special School,2015,Special School,Special,Major Cities of Australia,Metropolitan,Brisbane (C),Mansfield,8084.5,8937,90.50%
3012,Mackenzie State Special School,2016,Special School,Special,Major Cities of Australia,Metropolitan,Brisbane (C),Mansfield,8649.5,9436,91.70%
3012,Mackenzie State Special School,2017,Special School,Special,Major Cities of Australia,Metropolitan,Brisbane (C),Mansfield,8745,9766,89.50%
3012,Mackenzie State Special School,2018,Special School,Special,Major Cities of Australia,Metropolitan,Brisbane (C),Mansfield,9695,10989,88.20%
3012,Mackenzie State Special School,2019,Special School,Special,Major Cities of Australia,Metropolitan,Brisbane (C),Mansfield,9401.5,10898,86.30%
324,Macknade State School,2015,State School,Primary,Outer Regional Australia,North Queensland,Hinchinbrook (S),Hinchinbrook,3157,3379.5,93.40%
324,Macknade State School,2016,State School,Primary,Outer Regional Australia,North Queensland,Hinchinbrook (S),Hinchinbrook,3161.5,3411,92.70%
324,Macknade State School,2017,State School,Primary,Outer Regional Australia,North Queensland,Hinchinbrook (S),Hinchinbrook,3407,3578,95.20%
324,Macknade State School,2018,State School,Primary,Outer Regional Australia,North Queensland,Hinchinbrook (S),Hinchinbrook,2752.5,3046,90.40%
324,Macknade State School,2019,State School,Primary,Outer Regional Australia,North Queensland,Hinchinbrook (S),Hinchinbrook,1210.5,1253,96.60%
1959,MacLeay Island State School,2015,State School,Primary,Inner Regional Australia,South East,Redland (C),Redlands,14265,16148,88.30%
1959,MacLeay Island State School,2016,State School,Primary,Inner Regional Australia,South East,Redland (C),Redlands,13037,14853,87.80%
1959,MacLeay Island State School,2017,State School,Primary,Inner Regional Australia,South East,Redland (C),Redlands,13150.5,14757,89.10%
1959,MacLeay Island State School,2018,State School,Primary,Inner Regional Australia,South East,Redland (C),Redlands,12885,14401,89.50%
1959,MacLeay Island State School,2019,State School,Primary,Inner Regional Australia,South East,Redland (C),Redlands,11386,13156,86.50%
1219,Magnetic Island State School,2015,State School,Primary,Outer Regional Australia,North Queensland,Townsville (C),Townsville,13373,14602,91.60%
1219,Magnetic Island State School,2016,State School,Primary,Outer Regional Australia,North Queensland,Townsville (C),Townsville,12126,13325,91.00%
1219,Magnetic Island State School,2017,State School,Primary,Outer Regional Australia,North Queensland,Townsville (C),Townsville,11875,12951,91.70%
1219,Magnetic Island State School,2018,State School,Primary,Outer Regional Australia,North Queensland,Townsville (C),Townsville,13105,14123,92.80%
1219,Magnetic Island State School,2019,State School,Primary,Outer Regional Australia,North Queensland,Townsville (C),Townsville,13092,14232,92.00%
1214,Maidavale State School,2015,State School,Primary,Outer Regional Australia,North Queensland,Burdekin (S),Burdekin,868.5,947,91.70%
1214,Maidavale State School,2016,State School,Primary,Outer Regional Australia,North Queensland,Burdekin (S),Burdekin,925.5,1057.5,87.50%
1214,Maidavale State School,2017,State School,Primary,Outer Regional Australia,North Queensland,Burdekin (S),Burdekin,359.5,384,93.60%
1214,Maidavale State School,2018,State School,Primary,Outer Regional Australia,North Queensland,Burdekin (S),Burdekin,544,579,94.00%
1214,Maidavale State School,2019,State School,Primary,Outer Regional Australia,North Queensland,Burdekin (S),Burdekin,434.5,531,81.80%
2067,Malanda State High School,2015,State High School,Secondary,Outer Regional Australia,Far North Queensland,Tablelands (R),Hill,33942.5,37140,91.40%
2067,Malanda State High School,2016,State High School,Secondary,Outer Regional Australia,Far North Queensland,Tablelands (R),Hill,32978.5,35419.5,93.10%
2067,Malanda State High School,2017,State High School,Secondary,Outer Regional Australia,Far North Queensland,Tablelands (R),Hill,32840,35904,91.50%
2067,Malanda State High School,2018,State High School,Secondary,Outer Regional Australia,Far North Queensland,Tablelands (R),Hill,37328,41176,90.70%
2067,Malanda State High School,2019,State High School,Secondary,Outer Regional Australia,Far North Queensland,Tablelands (R),Hill,38420.5,42473,90.50%
1396,Malanda State School,2015,State School,Primary,Outer Regional Australia,Far North Queensland,Tablelands (R),Hill,27935.5,30159,92.60%
1396,Malanda State School,2016,State School,Primary,Outer Regional Australia,Far North Queensland,Tablelands (R),Hill,28468,30883,92.20%
1396,Malanda State School,2017,State School,Primary,Outer Regional Australia,Far North Queensland,Tablelands (R),Hill,30980.5,33175,93.40%
1396,Malanda State School,2018,State School,Primary,Outer Regional Australia,Far North Queensland,Tablelands (R),Hill,34404.5,37187,92.50%
1396,Malanda State School,2019,State School,Primary,Outer Regional Australia,Far North Queensland,Tablelands (R),Hill,35961,38868.5,92.50%
2177,Maleny State High School,2015,State High School,Secondary,Inner Regional Australia,North Coast,Sunshine Coast (R),Glass House,61490,68799,89.40%
2177,Maleny State High School,2016,State High School,Secondary,Inner Regional Australia,North Coast,Sunshine Coast (R),Glass House,59163,65823,89.90%
2177,Maleny State High School,2017,State High School,Secondary,Inner Regional Australia,North Coast,Sunshine Coast (R),Glass House,55874,62714.5,89.10%
2177,Maleny State High School,2018,State High School,Secondary,Inner Regional Australia,North Coast,Sunshine Coast (R),Glass House,54653.5,63244,86.40%
2177,Maleny State High School,2019,State High School,Secondary,Inner Regional Australia,North Coast,Sunshine Coast (R),Glass House,54429.5,63102,86.30%
1390,Maleny State School,2015,State School,Primary,Inner Regional Australia,North Coast,Sunshine Coast (R),Glass House,33929,36957,91.80%
1390,Maleny State School,2016,State School,Primary,Inner Regional Australia,North Coast,Sunshine Coast (R),Glass House,34241,36691,93.30%
1390,Maleny State School,2017,State School,Primary,Inner Regional Australia,North Coast,Sunshine Coast (R),Glass House,34144.5,36813,92.80%
1390,Maleny State School,2018,State School,Primary,Inner Regional Australia,North Coast,Sunshine Coast (R),Glass House,36484.5,39269,92.90%
1390,Maleny State School,2019,State School,Primary,Inner Regional Australia,North Coast,Sunshine Coast (R),Glass House,34837.5,37805,92.20%
7575,Mango Hill State School,2015,State School,Primary,Major Cities of Australia,North Coast,Moreton Bay (R),Murrumba,60417.5,64110.5,94.20%
7575,Mango Hill State School,2016,State School,Primary,Major Cities of Australia,North Coast,Moreton Bay (R),Murrumba,71575,75608,94.70%
7575,Mango Hill State School,2017,State School,Primary,Major Cities of Australia,North Coast,Moreton Bay (R),Murrumba,84353,89705.5,94.00%
7575,Mango Hill State School,2018,State School,Primary,Major Cities of Australia,North Coast,Moreton Bay (R),Murrumba,104200.5,112124,92.90%
7575,Mango Hill State School,2019,State School,Primary,Major Cities of Australia,North Coast,Moreton Bay (R),Murrumba,110052,117575,93.60%
1222,Manly State School,2015,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Lytton,58192.5,61425,94.70%
1222,Manly State School,2016,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Lytton,59869.5,63160,94.80%
1222,Manly State School,2017,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Lytton,60039.5,63370,94.70%
1222,Manly State School,2018,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Lytton,62094,65925,94.20%
1222,Manly State School,2019,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Lytton,59503.5,62920,94.60%
264,Manly West State School,2015,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Lytton,39961.5,42501,94.00%
264,Manly West State School,2016,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Lytton,40792.5,43456,93.90%
264,Manly West State School,2017,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Lytton,42255.5,45160,93.60%
264,Manly West State School,2018,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Lytton,44177.5,47374,93.30%
264,Manly West State School,2019,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Lytton,41455.5,45000,92.10%
2059,Mansfield State High School,2015,State High School,Secondary,Major Cities of Australia,Metropolitan,Brisbane (C),Mansfield,188318.5,199110,94.60%
2059,Mansfield State High School,2016,State High School,Secondary,Major Cities of Australia,Metropolitan,Brisbane (C),Mansfield,200331.5,211747,94.60%
2059,Mansfield State High School,2017,State High School,Secondary,Major Cities of Australia,Metropolitan,Brisbane (C),Mansfield,215575,229184,94.10%
2059,Mansfield State High School,2018,State High School,Secondary,Major Cities of Australia,Metropolitan,Brisbane (C),Mansfield,240175,258003,93.10%
2059,Mansfield State High School,2019,State High School,Secondary,Major Cities of Australia,Metropolitan,Brisbane (C),Mansfield,246792,266628.5,92.60%
143,Mansfield State School,2015,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Mansfield,80617,84063,95.90%
143,Mansfield State School,2016,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Mansfield,85748.5,89489.5,95.80%
143,Mansfield State School,2017,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Mansfield,88489.5,93067,95.10%
143,Mansfield State School,2018,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Mansfield,103945,109266,95.10%
143,Mansfield State School,2019,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Mansfield,104513,110529,94.60%
878,Mapleton State School,2015,State School,Primary,Inner Regional Australia,North Coast,Sunshine Coast (R),Nicklin,15348.5,16448,93.30%
878,Mapleton State School,2016,State School,Primary,Inner Regional Australia,North Coast,Sunshine Coast (R),Nicklin,17269.5,18571,93.00%
878,Mapleton State School,2017,State School,Primary,Inner Regional Australia,North Coast,Sunshine Coast (R),Nicklin,18076,19368,93.30%
878,Mapleton State School,2018,State School,Primary,Inner Regional Australia,North Coast,Sunshine Coast (R),Nicklin,21404,23103,92.60%
878,Mapleton State School,2019,State School,Primary,Inner Regional Australia,North Coast,Sunshine Coast (R),Nicklin,17731.5,19152,92.60%
320,Marburg State School,2015,State School,Primary,Inner Regional Australia,Metropolitan,Ipswich (C),Ipswich West,5146.5,5620,91.60%
320,Marburg State School,2016,State School,Primary,Inner Regional Australia,Metropolitan,Ipswich (C),Ipswich West,5250,5689,92.30%
320,Marburg State School,2017,State School,Primary,Inner Regional Australia,Metropolitan,Ipswich (C),Ipswich West,4323,4766,90.70%
320,Marburg State School,2018,State School,Primary,Inner Regional Australia,Metropolitan,Ipswich (C),Ipswich West,5271,5791,91.00%
320,Marburg State School,2019,State School,Primary,Inner Regional Australia,Metropolitan,Ipswich (C),Ipswich West,3668.5,4190,87.60%
2058,Mareeba State High School,2015,State High School,Secondary,Outer Regional Australia,Far North Queensland,Mareeba (S),Cook,61999.5,72863,85.10%
2058,Mareeba State High School,2016,State High School,Secondary,Outer Regional Australia,Far North Queensland,Mareeba (S),Cook,57257.5,69608,82.30%
2058,Mareeba State High School,2017,State High School,Secondary,Outer Regional Australia,Far North Queensland,Mareeba (S),Cook,59153,70268,84.20%
2058,Mareeba State High School,2018,State High School,Secondary,Outer Regional Australia,Far North Queensland,Mareeba (S),Cook,63043,72273,87.20%
2058,Mareeba State High School,2019,State High School,Secondary,Outer Regional Australia,Far North Queensland,Mareeba (S),Cook,59891.5,70290,85.20%
653,Mareeba State School,2015,State School,Primary,Outer Regional Australia,Far North Queensland,Mareeba (S),Cook,68553.5,76635.5,89.50%
653,Mareeba State School,2016,State School,Primary,Outer Regional Australia,Far North Queensland,Mareeba (S),Cook,69206.5,76702,90.20%
653,Mareeba State School,2017,State School,Primary,Outer Regional Australia,Far North Queensland,Mareeba (S),Cook,74303.5,82688.5,89.90%
653,Mareeba State School,2018,State School,Primary,Outer Regional Australia,Far North Queensland,Mareeba (S),Cook,76583.5,86396,88.60%
653,Mareeba State School,2019,State School,Primary,Outer Regional Australia,Far North Queensland,Mareeba (S),Cook,72211.5,81964.5,88.10%
518,Marian State School,2015,State School,Primary,Outer Regional Australia,Central Queensland,Mackay (R),Mirani,48841.5,51766,94.40%
518,Marian State School,2016,State School,Primary,Outer Regional Australia,Central Queensland,Mackay (R),Mirani,47999,50716,94.60%
518,Marian State School,2017,State School,Primary,Outer Regional Australia,Central Queensland,Mackay (R),Mirani,47760,50942,93.80%
518,Marian State School,2018,State School,Primary,Outer Regional Australia,Central Queensland,Mackay (R),Mirani,52139,55558,93.80%
518,Marian State School,2019,State School,Primary,Outer Regional Australia,Central Queensland,Mackay (R),Mirani,50995,54900.5,92.90%
1584,Marlborough State School,2015,State School,Primary,Remote Australia,Central Queensland,Livingstone (S),Mirani,1507.5,1585,95.10%
1584,Marlborough State School,2016,State School,Primary,Remote Australia,Central Queensland,Livingstone (S),Mirani,2136.5,2256,94.70%
1584,Marlborough State School,2017,State School,Primary,Remote Australia,Central Queensland,Livingstone (S),Mirani,2830,3037,93.20%
1584,Marlborough State School,2018,State School,Primary,Remote Australia,Central Queensland,Livingstone (S),Mirani,3100.5,3344,92.70%
1584,Marlborough State School,2019,State School,Primary,Remote Australia,Central Queensland,Livingstone (S),Mirani,2655.5,2882,92.10%
1122,Marmor State School,2015,State School,Primary,Outer Regional Australia,Central Queensland,Rockhampton (R),Mirani,2319,2364,98.10%
1122,Marmor State School,2016,State School,Primary,Outer Regional Australia,Central Queensland,Rockhampton (R),Mirani,2006,2067,97.00%
1122,Marmor State School,2017,State School,Primary,Outer Regional Australia,Central Queensland,Rockhampton (R),Mirani,1540,1634,94.20%
1122,Marmor State School,2018,State School,Primary,Outer Regional Australia,Central Queensland,Rockhampton (R),Mirani,1117.5,1218.5,91.70%
1122,Marmor State School,2019,State School,Primary,Outer Regional Australia,Central Queensland,Rockhampton (R),Mirani,1125,1198,93.90%
2097,Maroochydore State High School,2015,State High School,Secondary,Major Cities of Australia,North Coast,Sunshine Coast (R),Maroochydore,110374.5,121851,90.60%
2097,Maroochydore State High School,2016,State High School,Secondary,Major Cities of Australia,North Coast,Sunshine Coast (R),Maroochydore,106696,117374.5,90.90%
2097,Maroochydore State High School,2017,State High School,Secondary,Major Cities of Australia,North Coast,Sunshine Coast (R),Maroochydore,107798.5,118311,91.10%
2097,Maroochydore State High School,2018,State High School,Secondary,Major Cities of Australia,North Coast,Sunshine Coast (R),Maroochydore,115857.5,129375.5,89.60%
2097,Maroochydore State High School,2019,State High School,Secondary,Major Cities of Australia,North Coast,Sunshine Coast (R),Maroochydore,112155,125364.5,89.50%
1711,Maroochydore State School,2015,State School,Primary,Major Cities of Australia,North Coast,Sunshine Coast (R),Maroochydore,19566,21747,90.00%
1711,Maroochydore State School,2016,State School,Primary,Major Cities of Australia,North Coast,Sunshine Coast (R),Maroochydore,19226.5,21136,91.00%
1711,Maroochydore State School,2017,State School,Primary,Major Cities of Australia,North Coast,Sunshine Coast (R),Maroochydore,21142.5,23339.5,90.60%
1711,Maroochydore State School,2018,State School,Primary,Major Cities of Australia,North Coast,Sunshine Coast (R),Maroochydore,22919,25737.5,89.00%
1711,Maroochydore State School,2019,State School,Primary,Major Cities of Australia,North Coast,Sunshine Coast (R),Maroochydore,22354,25125.5,89.00%
640,Maroon State School,2015,State School,Primary,Inner Regional Australia,South East,Scenic Rim (R),Scenic Rim,739,776,95.20%
640,Maroon State School,2016,State School,Primary,Inner Regional Australia,South East,Scenic Rim (R),Scenic Rim,604,650,92.90%
640,Maroon State School,2017,State School,Primary,Inner Regional Australia,South East,Scenic Rim (R),Scenic Rim,766.5,846,90.60%
640,Maroon State School,2018,State School,Primary,Inner Regional Australia,South East,Scenic Rim (R),Scenic Rim,668,785,85.10%
640,Maroon State School,2019,State School,Primary,Inner Regional Australia,South East,Scenic Rim (R),Scenic Rim,1142,1214,94.10%
1251,Maroondan State School,2015,State School,Primary,Inner Regional Australia,North Coast,Bundaberg (R),Callide,2218,2434,91.10%
1251,Maroondan State School,2016,State School,Primary,Inner Regional Australia,North Coast,Bundaberg (R),Callide,2402.5,2570,93.50%
1251,Maroondan State School,2017,State School,Primary,Inner Regional Australia,North Coast,Bundaberg (R),Callide,3221.5,3423,94.10%
1251,Maroondan State School,2018,State School,Primary,Inner Regional Australia,North Coast,Bundaberg (R),Callide,3673.5,3924,93.60%
1251,Maroondan State School,2019,State School,Primary,Inner Regional Australia,North Coast,Bundaberg (R),Callide,3899.5,4158,93.80%
2176,Marsden State High School,2015,State High School,Secondary,Major Cities of Australia,South East,Logan (C),Waterford,177706.5,201877,88.00%
2176,Marsden State High School,2016,State High School,Secondary,Major Cities of Australia,South East,Logan (C),Waterford,173324,196275,88.30%
2176,Marsden State High School,2017,State High School,Secondary,Major Cities of Australia,South East,Logan (C),Waterford,170978,191891,89.10%
2176,Marsden State High School,2018,State High School,Secondary,Major Cities of Australia,South East,Logan (C),Waterford,192037.5,221718,86.60%
2176,Marsden State High School,2019,State High School,Secondary,Major Cities of Australia,South East,Logan (C),Waterford,206043,235981,87.30%
1875,Marsden State School,2015,State School,Primary,Major Cities of Australia,South East,Logan (C),Woodridge,83566,93596,89.30%
1875,Marsden State School,2016,State School,Primary,Major Cities of Australia,South East,Logan (C),Woodridge,84050,93427,90.00%
1875,Marsden State School,2017,State School,Primary,Major Cities of Australia,South East,Logan (C),Woodridge,85264,94110.5,90.60%
1875,Marsden State School,2018,State School,Primary,Major Cities of Australia,South East,Logan (C),Woodridge,91137,101874.5,89.50%
1875,Marsden State School,2019,State School,Primary,Major Cities of Australia,South East,Logan (C),Woodridge,90937,100821,90.20%
708,Marshall Road State School,2015,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Greenslopes,45951,48027,95.70%
708,Marshall Road State School,2016,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Greenslopes,44825.5,46749,95.90%
708,Marshall Road State School,2017,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Greenslopes,44607,46501,95.90%
708,Marshall Road State School,2018,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Greenslopes,47417,49541,95.70%
708,Marshall Road State School,2019,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Greenslopes,45839,48165,95.20%
465,Mary Valley State College,2015,State School,Combined,Inner Regional Australia,North Coast,Gympie (R),Gympie,13723,15126,90.70%
465,Mary Valley State College,2016,State School,Combined,Inner Regional Australia,North Coast,Gympie (R),Gympie,11290,12384,91.20%
465,Mary Valley State College,2017,State School,Combined,Inner Regional Australia,North Coast,Gympie (R),Gympie,13154.5,14599,90.10%
465,Mary Valley State College,2018,State School,Combined,Inner Regional Australia,North Coast,Gympie (R),Gympie,16340,18052.5,90.50%
465,Mary Valley State College,2019,State School,Combined,Inner Regional Australia,North Coast,Gympie (R),Gympie,15280,16839.5,90.70%
72,Maryborough Central State School,2015,State School,Primary,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,27979.5,30947,90.40%
72,Maryborough Central State School,2016,State School,Primary,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,27118,30498.5,88.90%
72,Maryborough Central State School,2017,State School,Primary,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,24669,27375.5,90.10%
72,Maryborough Central State School,2018,State School,Primary,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,25602.5,29967,85.40%
72,Maryborough Central State School,2019,State School,Primary,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,21956,25660,85.60%
3017,Maryborough Special School,2015,Special School,Special,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,6486.5,7610,85.20%
3017,Maryborough Special School,2016,Special School,Special,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,6767.5,8107,83.50%
3017,Maryborough Special School,2017,Special School,Special,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,6343,7440,85.30%
3017,Maryborough Special School,2018,Special School,Special,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,6641.5,7943,83.60%
3017,Maryborough Special School,2019,Special School,Special,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,6407,7516,85.20%
2020,Maryborough State High School,2015,State High School,Secondary,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,60540,71297,84.90%
2020,Maryborough State High School,2016,State High School,Secondary,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,57376.5,66017,86.90%
2020,Maryborough State High School,2017,State High School,Secondary,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,59868.5,68554,87.30%
2020,Maryborough State High School,2018,State High School,Secondary,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,66170.5,76003.5,87.10%
2020,Maryborough State High School,2019,State High School,Secondary,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,70659.5,81581,86.60%
485,Maryborough West State School,2015,State School,Primary,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,35989,39203,91.80%
485,Maryborough West State School,2016,State School,Primary,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,31962.5,34695,92.10%
485,Maryborough West State School,2017,State School,Primary,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,31880,34572,92.20%
485,Maryborough West State School,2018,State School,Primary,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,32993.5,35790,92.20%
485,Maryborough West State School,2019,State School,Primary,Inner Regional Australia,North Coast,Fraser Coast (R),Maryborough,29657.5,32765,90.50%
1389,Maryvale State School,2015,State School,Primary,Inner Regional Australia,Darling Downs South West,Southern Downs (R),Southern Downs,1477.5,1678,88.10%
1389,Maryvale State School,2016,State School,Primary,Inner Regional Australia,Darling Downs South West,Southern Downs (R),Southern Downs,1084.5,1169.5,92.70%
1389,Maryvale State School,2017,State School,Primary,Inner Regional Australia,Darling Downs South West,Southern Downs (R),Southern Downs,1009.5,1103,91.50%
1389,Maryvale State School,2018,State School,Primary,Inner Regional Australia,Darling Downs South West,Southern Downs (R),Southern Downs,1104.5,1236,89.40%
