School Code,School,Attendance Year,School Type,School Category,Remoteness Area,Region,Local Government Area,State Electorate,FTE Days Attended,Possible Attendance Days,Attendance Rate
1963,Alexandra Bay State School,2017,State School,Primary,Remote Australia,Far North Queensland,Douglas (S),Cook,2588,2884,89.70%
1963,Alexandra Bay State School,2018,State School,Primary,Remote Australia,Far North Queensland,Douglas (S),Cook,2365.5,2678,88.30%
1963,Alexandra Bay State School,2019,State School,Primary,Remote Australia,Far North Queensland,Douglas (S),Cook,2175.5,2449,88.80%
2175,Alexandra Hills State High School,2015,State High School,Secondary,Major Cities of Australia,South East,Redland (C),Capalaba,116078,128711,90.20%
2175,Alexandra Hills State High School,2016,State High School,Secondary,Major Cities of Australia,South East,Redland (C),Capalaba,119247.5,130775,91.20%
2175,Alexandra Hills State High School,2017,State High School,Secondary,Major Cities of Australia,South East,Redland (C),Capalaba,124938,137728,90.70%
2175,Alexandra Hills State High School,2018,State High School,Secondary,Major Cities of Australia,South East,Redland (C),Capalaba,132641.5,147500,89.90%
2175,Alexandra Hills State High School,2019,State High School,Secondary,Major Cities of Australia,South East,Redland (C),Capalaba,126852.5,142973,88.70%
405,Alexandra Hills State School,2015,State School,Primary,Major Cities of Australia,South East,Redland (C),Capalaba,16279.5,18274,89.10%
405,Alexandra Hills State School,2016,State School,Primary,Major Cities of Australia,South East,Redland (C),Capalaba,16977,18414,92.20%
405,Alexandra Hills State School,2017,State School,Primary,Major Cities of Australia,South East,Redland (C),Capalaba,15521,17329,89.60%
405,Alexandra Hills State School,2018,State School,Primary,Major Cities of Australia,South East,Redland (C),Capalaba,17502.5,19765,88.60%
405,Alexandra Hills State School,2019,State School,Primary,Major Cities of Australia,South East,Redland (C),Capalaba,15547,17258,90.10%
1866,Algester State School,2015,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Algester,91363.5,97439,93.80%
1866,Algester State School,2016,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Algester,86936.5,92665,93.80%
1866,Algester State School,2017,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Algester,86052,91713,93.80%
1866,Algester State School,2018,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Algester,91493.5,98062,93.30%
1866,Algester State School,2019,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Algester,88140.5,95790.5,92.00%
155,Allenstown State School,2015,State School,Primary,Inner Regional Australia,Central Queensland,Rockhampton (R),Rockhampton,29403.5,32371,90.80%
155,Allenstown State School,2016,State School,Primary,Inner Regional Australia,Central Queensland,Rockhampton (R),Rockhampton,31595,34533,91.50%
155,Allenstown State School,2017,State School,Primary,Inner Regional Australia,Central Queensland,Rockhampton (R),Rockhampton,31349.5,34671,90.40%
155,Allenstown State School,2018,State School,Primary,Inner Regional Australia,Central Queensland,Rockhampton (R),Rockhampton,34228.5,38028,90.00%
155,Allenstown State School,2019,State School,Primary,Inner Regional Australia,Central Queensland,Rockhampton (R),Rockhampton,33328.5,36888,90.40%
773,Alligator Creek State School,2015,State School,Primary,Outer Regional Australia,Central Queensland,Mackay (R),Mirani,28745.5,30921,93.00%
773,Alligator Creek State School,2016,State School,Primary,Outer Regional Australia,Central Queensland,Mackay (R),Mirani,28856.5,31135,92.70%
773,Alligator Creek State School,2017,State School,Primary,Outer Regional Australia,Central Queensland,Mackay (R),Mirani,27025.5,28735,94.10%
773,Alligator Creek State School,2018,State School,Primary,Outer Regional Australia,Central Queensland,Mackay (R),Mirani,28927,30928.5,93.50%
773,Alligator Creek State School,2019,State School,Primary,Outer Regional Australia,Central Queensland,Mackay (R),Mirani,28855,30968.5,93.20%
3,Allora P-10 State School,2015,State School,Combined,Inner Regional Australia,Darling Downs South West,Southern Downs (R),Southern Downs,20666,22392,92.30%
