Dataset: SEIFA 2016 by Postal Area Code,,,,,,,,,,,
Index Type,,Index of Relative Socio-economic Advantage and Disadvantage,,,,,,,,,
Time,,2016,,,,,,,,,
Measure,,Score,RANK WITHIN AUSTRALIA,,,RANK WITHIN STATE AND TERRITORY,,,Minimum score for SA1s in area,Maximum score for SA1s in area,Usual resident population
,,,  Rank within Australia,  Rank within Australia - Decile,  Rank within Australia - Percentile,  Rank within State or Territory,  Rank within State or Territory - Decile,  Rank within State or Territory - Percentile,,,
Postal Area Code,,,,,,,,,,,
2259,,957,938,4,36,235,4,39,726,1110,59513
2260,,1077,2297,9,88,491,8,80,769,1136,23417
2261,,959,962,4,37,242,4,40,669,1127,52754
2262,,906,313,2,12,77,2,13,841,971,20830
2263,,893,230,1,9,52,1,9,721,1055,24267
2264,,960,974,4,38,245,4,40,754,1048,14233
2265,,1001,1555,6,60,353,6,58,920,1087,5805
2267,,982,1271,5,49,303,5,50,921,1045,2759
2278,,954,892,4,34,228,4,38,897,1044,2570
2280,,992,1432,6,55,329,6,54,780,1124,26678
2281,,963,1009,4,39,256,5,42,796,1082,14274
2282,,1038,1996,8,76,431,8,71,899,1125,14777
2283,,958,948,4,37,239,4,39,713,1106,23300
2284,,934,615,3,24,157,3,26,803,1085,10500
2285,,983,1295,5,50,309,6,51,682,1101,30714
2286,,934,617,3,24,159,3,26,893,1044,3909
2287,,980,1249,5,48,298,5,49,802,1126,36400
2289,,1041,2019,8,77,435,8,71,957,1158,19117
2290,,998,1521,6,58,344,6,56,736,1137,33426
2291,,1089,2365,9,90,508,9,83,938,1184,13417
2292,,980,1240,5,48,295,5,48,708,1019,2465
2293,,1037,1986,8,76,429,7,70,1017,1096,2521
2294,,995,1478,6,57,339,6,56,962,1044,1929
2295,,969,1103,5,42,271,5,45,772,1135,6925
2296,,995,1477,6,57,338,6,55,934,1070,1883
2297,,986,1352,6,52,318,6,52,944,1030,1680
2298,,964,1025,4,39,260,5,43,867,1021,9498
2299,,954,890,4,34,227,4,37,768,1129,11207
2300,,1069,2242,9,86,480,8,79,933,1157,10578
2302,,1010,1696,7,65,380,7,62,1004,1105,564
2303,,1000,1540,6,59,349,6,57,475,1121,9143
2304,,952,865,4,33,222,4,37,777,1053,15176
2305,,1042,2023,8,77,436,8,71,940,1173,12506
2306,,698,6,1,1,2,1,1,592,870,3358
2307,,921,452,2,18,115,2,19,874,939,3905
2311,,946,769,3,30,197,4,33,864,1028,858
2312,,909,343,2,14,88,2,15,867,954,1458
2315,,980,1248,5,48,297,5,49,878,1104,14658
2316,,971,1126,5,43,273,5,45,838,1055,5849
2317,,965,1050,4,40,263,5,43,884,1024,6244
2318,,1010,1700,7,65,381,7,62,870,1129,12147
2319,,914,390,2,15,99,2,17,857,1021,6684
2320,,971,1135,5,44,276,5,45,665,1139,34556
2321,,995,1483,6,57,340,6,56,875,1089,14625
2322,,941,721,3,28,187,4,31,687,1120,18450
2323,,961,986,4,38,248,5,41,626,1146,25735
2324,,915,398,2,16,100,2,17,666,1084,23648
2325,,894,231,1,9,53,1,9,650,1139,28460
2326,,872,139,1,6,29,1,5,566,1043,7332
2327,,866,115,1,5,24,1,4,783,936,7615
2328,,936,640,3,25,164,3,27,862,1026,2442
2329,,917,424,2,17,106,2,18,843,1019,2112
2330,,965,1046,4,40,262,5,43,679,1072,20350
2331,,1033,1938,8,74,417,7,68,963,1033,319
2333,,912,367,2,14,96,2,16,583,1045,13647
2334,,922,472,2,18,121,2,20,881,1024,2830
2335,,994,1467,6,56,336,6,55,906,1082,6156
2336,,943,736,3,28,192,4,32,877,1075,2614
2337,,980,1246,5,48,296,5,49,834,1075,7891
2338,,921,458,2,18,117,2,20,855,1033,1430
2339,,962,1000,4,39,254,5,42,897,1018,679
2340,,951,844,4,33,215,4,35,528,1129,49072
2341,,813,46,1,2,6,1,1,776,999,1572
2342,,990,1403,6,54,326,6,54,974,1039,471
