Dataset: SEIFA 2016 by Postal Area Code,,,,,,,,,,,
Index Type,,Index of Relative Socio-economic Advantage and Disadvantage,,,,,,,,,
Time,,2016,,,,,,,,,
Measure,,Score,RANK WITHIN AUSTRALIA,,,RANK WITHIN STATE AND TERRITORY,,,Minimum score for SA1s in area,Maximum score for SA1s in area,Usual resident population
,,,  Rank within Australia,  Rank within Australia - Decile,  Rank within Australia - Percentile,  Rank within State or Territory,  Rank within State or Territory - Decile,  Rank within State or Territory - Percentile,,,
Postal Area Code,,,,,,,,,,,
3360,,918,432,2,17,73,2,11,891,1004,765
3361,,937,660,3,26,121,2,18,870,1077,680
3363,,953,875,4,34,173,3,25,863,1052,3479
3364,,1016,1753,7,67,440,7,64,959,1052,2149
3370,,917,428,2,17,71,2,11,898,1005,1783
3371,,883,170,1,7,18,1,3,820,961,992
3373,,930,567,3,22,108,2,16,859,1077,2292
3374,,994,1465,6,56,338,5,49,985,1011,400
3375,,1010,1691,7,65,416,6,60,952,1057,208
3377,,915,405,2,16,66,1,10,750,1057,9416
3378,,1057,2148,9,82,555,8,80,1057,1057,146
3379,,973,1157,5,44,250,4,36,838,1057,803
3380,,894,237,1,10,31,1,5,837,981,6032
3381,,1003,1584,7,61,378,6,55,970,1011,1212
3384,,958,950,4,37,197,3,29,924,994,547
3385,,984,1321,6,51,294,5,43,960,1065,517
3387,,1005,1610,7,62,390,6,57,960,1038,312
3388,,963,1004,4,39,208,3,30,902,1077,561
3390,,928,547,3,21,101,2,15,872,1065,910
3391,,993,1457,6,56,337,5,49,993,993,171
3392,,923,494,2,19,91,2,14,871,1038,580
3393,,911,362,2,14,61,1,9,861,1044,2685
3395,,953,871,4,34,170,3,25,868,1044,364
3396,,938,668,3,26,124,2,18,871,1036,739
3400,,938,667,3,26,123,2,18,644,1058,14543
3401,,1025,1856,8,71,478,7,69,918,1090,4421
3407,,1020,1801,7,69,455,7,66,940,1090,420
3409,,987,1365,6,52,313,5,46,934,1042,932
3412,,915,400,2,16,64,1,10,866,1051,299
3413,,1050,2096,8,80,542,8,78,1049,1051,215
3414,,916,416,2,16,68,1,10,837,1012,1826
3415,,1032,1934,8,74,498,8,72,1032,1032,40
3418,,954,888,4,34,177,3,26,897,1042,2772
3419,,975,1186,5,46,261,4,38,927,1032,803
3420,,1021,1814,7,69,460,7,67,1009,1086,279
3423,,849,85,1,4,10,1,2,799,975,477
3424,,953,868,4,34,169,3,25,874,1044,769
3427,,984,1315,6,51,291,5,42,916,1056,2763
3428,,1017,1767,7,68,444,7,64,1012,1023,675
3429,,1004,1602,7,61,387,6,56,863,1131,36297
3430,,1017,1768,7,68,445,7,65,1013,1070,320
3431,,1060,2176,9,83,564,9,82,1010,1107,3947
3432,,1013,1726,7,66,429,7,62,1013,1013,197
3433,,1057,2147,9,82,554,8,80,1057,1057,218
3434,,1018,1779,7,68,446,7,65,932,1088,5069
3435,,1011,1713,7,66,424,7,62,967,1078,2879
3437,,1072,2264,9,87,596,9,86,845,1121,10439
3438,,1078,2305,9,88,604,9,87,1030,1119,2387
3440,,1098,2415,10,92,637,10,92,1072,1129,2040
3441,,1127,2538,10,97,679,10,98,1118,1139,1335
3442,,1062,2188,9,84,567,9,82,960,1106,7463
3444,,998,1518,6,58,360,6,52,910,1112,9198
3446,,997,1504,6,58,353,6,51,974,1020,1025
3447,,997,1517,6,58,359,6,52,997,1020,448
3448,,1005,1612,7,62,392,6,57,981,1032,876
3450,,972,1143,5,44,244,4,36,899,1059,6834
3451,,981,1263,5,49,280,5,41,933,1035,5656
3453,,1019,1789,7,69,451,7,65,961,1067,1723
3458,,1023,1839,7,70,471,7,68,973,1112,1945
3460,,968,1088,5,42,233,4,34,950,1046,2567
3461,,997,1500,6,58,350,6,51,955,1046,4149
3462,,959,954,4,37,199,3,29,943,989,1173
3463,,975,1184,5,46,259,4,38,924,997,2451
3464,,926,524,2,20,96,2,14,882,978,1115
3465,,869,126,1,5,14,1,3,631,971,9776
3467,,893,226,1,9,29,1,5,860,961,1193
3468,,921,459,2,18,82,2,12,916,952,286
3469,,963,1005,4,39,209,4,31,952,964,280
3472,,851,91,1,4,12,1,2,811,948,1480
3475,,892,224,1,9,28,1,5,863,971,345
3477,,979,1223,5,47,272,4,40,948,1038,829
3478,,899,263,2,11,36,1,6,854,1038,2456
3480,,947,795,4,31,149,3,22,891,1044,1856
3482,,1007,1661,7,64,405,6,59,1002,1036,164
3483,,977,1202,5,46,265,4,39,967,1003,889
3485,,944,750,3,29,139,3,21,891,1024,302
3487,,964,1022,4,39,215,4,31,964,964,93
3488,,966,1053,5,41,226,4,33,964,1024,115
3489,,980,1241,5,48,275,4,40,964,1016,57
3490,,938,672,3,26,125,2,18,903,1086,1293
3491,,983,1306,5,50,288,5,42,964,1016,133
3494,,909,331,2,13,54,1,8,880,937,663
3496,,911,361,2,14,60,1,9,719,1039,6224
3498,,974,1177,5,45,257,4,37,841,1035,5325
3500,,906,312,2,12,50,1,8,583,1087,32738
3501,,1015,1749,7,67,439,7,64,937,1092,1941
3505,,926,520,2,20,95,2,14,753,1033,4832
3506,,1049,2080,8,80,536,8,78,1049,1049,36
3507,,1016,1759,7,67,442,7,64,1016,1016,158
3509,,1006,1640,7,63,401,6,58,997,1049,233
3512,,984,1319,6,51,293,5,43,936,1049,371
3515,,997,1514,6,58,357,6,52,966,1031,1944
3516,,971,1140,5,44,243,4,35,903,1047,694
3517,,908,323,2,13,52,1,8,865,986,1421
3518,,885,177,1,7,20,1,3,823,1051,1306
3520,,833,63,1,3,5,1,1,824,966,180
3521,,965,1037,4,40,223,4,33,936,1018,660
3522,,993,1445,6,55,331,5,48,993,993,339
3523,,905,307,2,12,48,1,7,844,993,3620
3525,,937,662,3,26,122,2,18,824,1051,1301
3527,,922,462,2,18,84,2,13,868,1069,785
3529,,1006,1627,7,62,396,6,57,1006,1006,121
3530,,1006,1625,7,62,394,6,57,1003,1006,126
3531,,1004,1606,7,62,389,6,56,1003,1024,191
3533,,918,433,2,17,74,2,11,869,1024,778
3537,,960,973,4,37,203,3,30,900,1069,1043
3540,,912,366,2,14,62,1,9,836,1069,291
3542,,1004,1600,7,61,386,6,56,1004,1004,157
3544,,972,1153,5,44,249,4,36,972,1006,250
3546,,976,1200,5,46,264,4,38,909,1073,402
3549,,893,227,1,9,30,1,5,746,1006,3522
3550,,956,917,4,35,187,3,27,604,1105,40339
3551,,1028,1889,8,72,490,8,71,842,1115,29565
3555,,926,518,2,20,94,2,14,715,1062,19687
3556,,888,193,1,8,22,1,4,757,993,13085
3557,,982,1272,5,49,281,5,41,958,997,785
3558,,920,449,2,18,79,2,12,878,983,913
3559,,985,1330,6,51,300,5,44,981,987,542
3561,,941,703,3,27,128,2,19,829,1024,4436
3562,,1004,1596,7,61,382,6,55,1004,1004,279
3563,,921,451,2,18,80,2,12,858,982,808
3564,,951,833,4,32,160,3,24,750,1056,15944
3565,,1013,1734,7,66,431,7,63,1013,1013,109
3566,,929,555,3,22,105,2,16,882,975,551
3567,,928,546,3,21,100,2,15,843,1023,655
3568,,946,779,3,30,144,3,21,838,1043,2945
3570,,952,861,4,33,166,3,24,945,986,753
3571,,1001,1561,6,60,369,6,54,983,1005,318
3572,,1004,1594,7,61,381,6,55,1002,1005,151
3573,,978,1216,5,47,270,4,39,962,981,333
3575,,936,643,3,25,119,2,18,857,1023,811
3576,,1023,1840,7,70,472,7,68,1023,1023,74
3579,,932,587,3,23,110,2,16,787,1069,5365
3580,,895,240,1,10,33,1,5,858,972,991
3581,,1008,1674,7,64,411,6,60,951,1008,168
3583,,965,1036,4,40,222,4,32,965,965,209
3584,,959,955,4,37,200,3,29,897,1016,1138
3585,,937,657,3,25,120,2,18,761,1063,11206
3586,,997,1505,6,58,354,6,51,972,1033,829
3588,,923,491,2,19,90,2,13,903,994,356
3589,,1002,1566,6,60,371,6,54,994,1024,352
3590,,989,1385,6,53,318,5,46,989,989,336
3591,,1024,1850,8,71,476,7,69,1024,1024,159
3594,,905,299,2,12,46,1,7,862,949,530
3595,,844,71,1,3,7,1,2,784,948,663
3596,,928,545,3,21,99,2,15,922,977,94
3597,,975,1189,5,46,262,4,38,963,1006,415
3599,,963,1013,4,39,212,4,31,963,963,132
3607,,1022,1824,7,70,465,7,67,1022,1022,131
3608,,950,826,4,32,157,3,23,901,1022,2418
3610,,956,926,4,36,189,3,28,887,994,1712
3612,,895,239,1,10,32,1,5,833,987,1709
3614,,1016,1754,7,67,441,7,64,974,1025,882
3616,,956,915,4,35,186,3,27,838,1041,5357
3617,,986,1344,6,52,304,5,44,986,986,158
3618,,923,485,2,19,88,2,13,887,981,679
3620,,941,718,3,28,132,2,19,769,1032,8240
3621,,928,543,3,21,98,2,15,853,1014,2368
3622,,981,1256,5,48,277,4,40,956,992,457
3623,,921,460,2,18,83,2,12,849,974,899
3624,,922,464,2,18,85,2,13,802,977,561
3629,,895,244,1,10,35,1,6,751,1014,9127
3630,,904,296,2,12,45,1,7,690,1083,31272
3631,,1024,1852,8,71,477,7,69,944,1105,11612
3633,,988,1377,6,53,317,5,46,983,1007,605
3634,,1002,1578,7,61,375,6,54,942,1034,1799
3635,,948,809,4,31,153,3,23,868,1040,537
3636,,920,447,2,17,78,2,12,780,1055,5241
3637,,988,1373,6,53,316,5,46,979,1005,594
3638,,940,692,3,27,126,2,19,887,1025,2074
3639,,899,267,2,11,37,1,6,823,982,526
3640,,982,1279,5,49,282,5,41,959,1020,996
3641,,929,552,3,21,103,2,15,817,1010,1238
3644,,919,443,2,17,76,2,11,745,1033,9227
3646,,980,1238,5,48,274,4,40,940,1059,584
3647,,1059,2165,9,83,561,9,81,1059,1059,44
3649,,935,629,3,24,117,2,17,869,1000,434
3658,,946,782,3,30,146,3,22,862,1029,6222
3659,,1008,1666,7,64,409,6,59,956,1033,736
3660,,905,300,2,12,47,1,7,735,1033,7574
3662,,1101,2428,10,93,643,10,93,1101,1101,1078
3663,,1027,1881,8,72,485,7,70,1027,1027,182
3664,,987,1363,6,52,312,5,45,971,1049,1070
3665,,1006,1638,7,63,400,6,58,985,1049,359
3666,,946,780,3,30,145,3,21,826,1058,4698
3669,,964,1026,4,40,218,4,32,887,1037,1337
3670,,964,1023,4,39,216,4,32,950,1008,572
3672,,915,402,2,16,65,1,10,656,1058,10330
3673,,1004,1598,7,61,384,6,56,950,1018,1732
3675,,997,1503,6,58,352,6,51,929,1027,1805
3677,,932,586,3,23,109,2,16,723,1053,18102
3678,,1033,1940,8,74,500,8,72,983,1095,6356
3682,,986,1349,6,52,306,5,45,957,1037,613
3683,,955,911,4,35,184,3,27,908,1029,1757
3685,,954,887,4,34,176,3,26,867,1034,2722
3687,,941,710,3,27,130,2,19,890,1006,1098
3688,,1005,1617,7,62,393,6,57,958,1050,1236
3690,,940,695,3,27,127,2,19,628,1107,33518
3691,,1040,2008,8,77,515,8,75,945,1094,9704
3694,,1037,1979,8,76,509,8,74,1037,1037,90
3695,,1023,1842,8,71,473,7,69,1017,1030,471
3697,,1002,1565,6,60,370,6,54,999,1005,574
3698,,1043,2030,8,78,522,8,76,1005,1064,862
3699,,933,595,3,23,112,2,17,871,1017,1124
3700,,958,951,4,37,198,3,29,914,1054,1318
3701,,993,1446,6,55,332,5,48,947,1046,1078
3704,,987,1358,6,52,309,5,45,987,987,20
3705,,987,1359,6,52,310,5,45,987,987,261
3707,,942,726,3,28,134,2,20,868,1091,1836
3708,,987,1360,6,52,311,5,45,987,987,60
3709,,995,1484,6,57,346,5,50,995,995,290
3711,,974,1174,5,45,256,4,37,971,977,492
3712,,948,807,4,31,152,3,22,948,948,353
3713,,903,289,2,11,43,1,7,871,960,1024
3714,,961,982,4,38,206,3,30,916,1017,3509
3715,,996,1487,6,57,348,6,51,996,996,307
3717,,968,1091,5,42,234,4,34,899,1029,2650
3718,,1027,1874,8,72,483,7,70,1027,1027,72
3719,,1003,1585,7,61,379,6,55,1003,1003,367
3720,,946,774,3,30,143,3,21,946,946,570
3722,,983,1305,5,50,287,5,42,918,1089,5018
3723,,997,1512,6,58,356,6,52,887,1089,3005
3725,,994,1473,6,57,342,5,50,987,1001,629
3726,,994,1471,6,56,340,5,49,987,1001,401
3727,,986,1343,6,52,303,5,44,958,989,309
3728,,890,209,1,8,25,1,4,819,988,636
3730,,941,705,3,27,129,2,19,802,1044,8833
3732,,974,1179,5,45,258,4,38,895,1037,588
3733,,986,1346,6,52,305,5,44,986,986,215
3735,,995,1482,6,57,345,5,50,984,1005,602
3737,,933,590,3,23,111,2,16,858,1017,4303
3738,,955,899,4,35,181,3,27,955,955,219
3739,,955,900,4,35,182,3,27,955,955,212
3740,,995,1479,6,57,343,5,50,927,1008,1072
3741,,985,1338,6,51,302,5,44,929,1029,3100
3744,,993,1456,6,56,336,5,49,987,1008,453
3746,,977,1213,5,47,269,4,39,942,1059,385
3747,,1013,1728,7,66,430,7,62,918,1072,4625
3749,,1037,1991,8,76,511,8,74,1003,1083,1888
3750,,1019,1785,7,68,449,7,65,981,1042,9060
3751,,952,854,4,33,163,3,24,952,952,277
3752,,1023,1834,7,70,469,7,68,912,1112,24060
3753,,1023,1832,7,70,467,7,68,977,1047,2330
3754,,1030,1913,8,73,494,8,72,890,1107,37757
3755,,1019,1782,7,68,447,7,65,1019,1019,252
3756,,988,1369,6,53,314,5,46,889,1109,11926
3757,,1002,1576,6,60,374,6,54,882,1067,8959
3758,,1021,1809,7,69,458,7,66,999,1058,2181
3759,,1083,2336,9,89,613,9,89,1055,1107,1062
3760,,1070,2247,9,86,589,9,85,1070,1070,369
3761,,1066,2226,9,85,582,9,84,1037,1091,1226
3762,,1059,2164,9,83,560,9,81,1058,1078,131
3763,,989,1390,6,53,319,5,46,945,1095,1536
3764,,984,1318,6,51,292,5,43,892,1063,9165
3765,,1034,1948,8,75,501,8,73,944,1117,6761
3766,,1068,2232,9,85,585,9,85,1062,1081,1239
3767,,1070,2245,9,86,587,9,85,1054,1117,1251
3770,,1024,1848,8,71,475,7,69,966,1089,3218
3775,,1042,2028,8,78,520,8,75,995,1113,3861
3777,,984,1311,5,50,290,5,42,902,1090,10751
3778,,977,1206,5,46,267,4,39,977,977,205
3779,,968,1097,5,42,236,4,34,887,977,394
3781,,997,1516,6,58,358,6,52,950,1066,4477
3782,,1042,2029,8,78,521,8,75,982,1106,7827
3783,,1031,1920,8,74,496,8,72,995,1078,2350
3785,,1104,2442,10,93,648,10,94,1104,1104,77
3786,,1099,2418,10,92,640,10,93,1072,1124,1518
3787,,1099,2422,10,93,641,10,93,1071,1140,1062
3788,,1072,2258,9,86,592,9,86,1061,1117,1738
3789,,1091,2378,10,91,627,10,91,1091,1091,265
3791,,1091,2372,10,91,624,9,90,1061,1118,1437
3792,,1068,2230,9,85,583,9,84,1055,1090,1065
3793,,1015,1745,7,67,436,7,63,985,1081,3577
3795,,1044,2041,8,78,526,8,76,1041,1047,1246
3796,,1023,1835,7,70,470,7,68,988,1078,9702
3797,,954,893,4,34,178,3,26,876,998,3476
3799,,916,414,2,16,67,1,10,798,992,5798
3802,,993,1451,6,56,334,5,49,834,1085,24298
3803,,942,725,3,28,133,2,20,883,1085,10855
3804,,1075,2282,9,87,599,9,87,1022,1102,8094
3805,,994,1468,6,56,339,5,49,782,1094,56933
3806,,1048,2071,8,79,533,8,77,873,1148,48520
3807,,1057,2149,9,82,556,9,81,928,1122,7097
3808,,1095,2393,10,91,632,10,91,1061,1112,3033
3809,,1049,2083,8,80,538,8,78,1003,1083,7210
3810,,968,1098,5,42,237,4,35,818,1094,47894
3812,,1024,1846,8,71,474,7,69,982,1049,2312
3813,,1011,1707,7,65,423,7,61,954,1050,886
3814,,1006,1637,7,63,399,6,58,989,1077,2255
3815,,1001,1553,6,60,367,6,53,955,1054,3022
3816,,946,771,3,30,142,3,21,887,1030,2721
3818,,961,979,4,38,204,3,30,846,1045,14167
3820,,979,1228,5,47,273,4,40,801,1084,15952
3821,,1025,1864,8,71,481,7,70,977,1063,2917
3822,,1005,1611,7,62,391,6,57,979,1026,985
3823,,982,1285,5,49,284,5,41,917,1074,1838
3824,,978,1218,5,47,271,4,39,888,1037,5004
3825,,884,173,1,7,19,1,3,684,1047,20281
3831,,1007,1663,7,64,407,6,59,992,1047,1702
3832,,1004,1599,7,61,385,6,56,943,1047,247
3833,,945,768,3,30,141,3,21,887,1002,307
3835,,972,1150,5,44,248,4,36,944,972,471
3840,,864,112,1,5,13,1,2,578,1057,16476
3842,,891,216,1,9,27,1,4,772,1074,4783
3844,,964,1033,4,40,219,4,32,657,1094,28980
3847,,951,847,4,33,162,3,24,859,1033,2191
3850,,956,929,4,36,190,3,28,706,1082,14779
3851,,961,981,4,38,205,3,30,789,1075,5687
3852,,1072,2266,9,87,597,9,86,1072,1072,93
3854,,1009,1682,7,64,413,6,60,937,1057,1397
3856,,966,1058,5,41,227,4,33,938,1057,989
3857,,997,1508,6,58,355,6,52,982,1002,364
3858,,934,612,3,24,115,2,17,838,1019,3025
3859,,994,1472,6,56,341,5,50,978,1026,834
3860,,953,872,4,34,171,3,25,843,1050,7172
3862,,973,1164,5,45,252,4,37,905,1053,3156
3864,,980,1244,5,48,276,4,40,980,980,217
3865,,946,786,3,30,147,3,22,937,1034,449
3869,,983,1307,5,50,289,5,42,941,1022,1626
3870,,973,1159,5,45,251,4,37,932,1028,1271
3871,,983,1299,5,50,286,5,42,920,1074,2902
3873,,1001,1554,6,60,368,6,53,1001,1001,321
3874,,922,470,2,18,86,2,13,922,985,558
3875,,941,712,3,28,131,2,19,646,1050,18625
3878,,967,1075,5,41,229,4,33,939,1005,1094
3880,,952,864,4,33,167,3,25,882,1028,4032
3882,,958,941,4,36,193,3,28,835,998,1095
3885,,943,735,3,28,137,2,20,878,974,1871
3886,,947,802,4,31,151,3,22,943,1030,389
3887,,904,295,2,12,44,1,7,875,988,342
3888,,902,285,2,11,41,1,6,780,1030,3426
3889,,935,627,3,24,116,2,17,900,1030,184
3890,,850,86,1,4,11,1,2,795,900,324
3891,,1020,1803,7,69,456,7,66,1020,1020,106
3892,,933,604,3,23,113,2,17,903,1020,1063
3893,,974,1166,5,45,253,4,37,911,974,23
3895,,972,1149,5,44,247,4,36,959,974,193
3896,,958,949,4,37,196,3,29,911,959,406
3898,,971,1131,5,44,242,4,35,916,1040,790
3900,,947,799,4,31,150,3,22,947,947,149
3902,,924,497,2,19,92,2,14,924,924,408
3903,,948,816,4,32,155,3,23,948,948,751
3904,,993,1453,6,56,335,5,49,965,1030,1449
3909,,913,377,2,15,63,1,10,808,989,7901
3910,,1010,1699,7,65,420,7,61,907,1092,22588
3911,,1001,1552,6,60,366,6,53,944,1066,3414
3912,,1002,1575,6,60,373,6,54,926,1081,15157
3913,,1020,1795,7,69,454,7,66,937,1092,3338
3915,,907,320,2,13,51,1,8,764,1068,9960
3916,,1097,2407,10,92,634,10,92,1071,1118,955
3918,,1003,1589,7,61,380,6,55,952,1089,3705
3919,,934,608,3,24,114,2,17,899,1050,3183
3920,,1096,2403,10,92,633,10,92,1096,1096,1040
3921,,964,1016,4,39,213,4,31,964,964,119
3922,,952,856,4,33,164,3,24,860,1050,7738
3923,,974,1168,5,45,254,4,37,969,1050,519
3925,,992,1442,6,55,329,5,48,929,1048,3384
3926,,1065,2215,9,85,577,9,84,1035,1094,3242
3927,,1063,2206,9,84,572,9,83,1048,1094,1667
3928,,1105,2446,10,94,650,10,94,1097,1111,416
3929,,1101,2431,10,93,645,10,93,1083,1128,905
3930,,1121,2512,10,96,672,10,97,953,1185,17888
3931,,1006,1633,7,63,398,6,58,830,1106,23989
3933,,1092,2383,10,91,630,10,91,1084,1098,1098
3934,,1076,2291,9,88,601,9,87,992,1155,18548
3936,,991,1408,6,54,323,5,47,898,1094,11024
3937,,1078,2304,9,88,603,9,87,1039,1118,1524
3938,,1008,1680,7,64,412,6,60,920,1061,2823
3939,,943,737,3,29,138,2,20,801,1072,14524
3940,,890,211,1,9,26,1,4,850,948,4930
3941,,968,1092,5,42,235,4,34,885,1064,12172
3942,,1030,1914,8,73,495,8,72,991,1068,2313
3943,,1059,2163,9,83,559,9,81,1032,1104,1592
3944,,1130,2545,10,97,682,10,99,1119,1139,510
3945,,1006,1631,7,63,397,6,58,946,1023,978
3946,,1007,1653,7,63,403,6,58,1007,1007,209
3950,,923,486,2,19,89,2,13,866,1016,4800
3951,,1012,1721,7,66,427,7,62,1000,1026,1003
3953,,969,1108,5,43,240,4,35,794,1044,7855
3954,,1039,2003,8,77,513,8,74,1039,1039,404
3956,,967,1084,5,42,232,4,34,902,1043,2821
3957,,1010,1694,7,65,418,7,61,1010,1010,281
3958,,1034,1957,8,75,503,8,73,1034,1034,272
3959,,1014,1740,7,67,435,7,63,947,1043,1151
3960,,965,1035,4,40,221,4,32,892,1043,2474
3962,,917,422,2,17,69,1,10,864,972,914
3964,,963,1007,4,39,210,4,31,963,963,134
3965,,899,268,2,11,38,1,6,893,944,209
3966,,948,812,4,31,154,3,23,944,972,511
3967,,951,834,4,32,161,3,24,944,980,125
3971,,917,426,2,17,70,2,11,802,1003,4018
3975,,1038,1993,8,76,512,8,74,948,1090,15248
3976,,919,438,2,17,75,2,11,853,983,25530
3977,,987,1357,6,52,308,5,45,811,1155,93326
3978,,1049,2086,8,80,539,8,78,946,1134,10648
3979,,1028,1886,8,72,489,8,71,1016,1039,321
3980,,982,1283,5,49,283,5,41,945,1053,3350
3981,,965,1042,4,40,224,4,33,892,1025,4898
3984,,910,351,2,14,57,1,9,805,1003,5209
3987,,964,1024,4,39,217,4,32,883,1009,1527
3988,,976,1199,5,46,263,4,38,930,1009,999
3990,,950,831,4,32,159,3,23,950,950,106
3991,,929,550,3,21,102,2,15,929,929,359
3992,,956,920,4,35,188,3,28,892,1039,967
3995,,902,288,2,11,42,1,7,730,1060,10173
3996,,1004,1604,7,61,388,6,56,891,1062,5538
4000,,1061,2181,9,83,387,9,89,895,1169,16552
4005,,1122,2517,10,96,426,10,98,957,1207,17876
4006,,1076,2285,9,87,398,10,92,955,1182,14530
4007,,1111,2472,10,94,421,10,97,1021,1207,12769
4008,,930,568,3,22,119,3,28,930,1084,368
4010,,1088,2358,9,90,410,10,95,1020,1179,2296
4011,,1098,2414,10,92,417,10,96,1018,1192,15180
4012,,1062,2195,9,84,389,9,90,977,1145,21828
4013,,1037,1987,8,76,364,9,84,939,1115,4568
4014,,1045,2049,8,78,376,9,87,974,1155,11913
4017,,1017,1761,7,67,332,8,77,759,1162,36869
4018,,1000,1542,6,59,295,7,68,803,1110,12153
4019,,938,665,3,26,139,4,32,754,1026,20106
4020,,972,1142,5,44,223,6,52,731,1141,22043
4021,,914,391,2,15,82,2,19,759,1031,9790
4022,,935,624,3,24,130,3,30,849,1141,7165
4025,,996,1488,6,57,286,7,66,996,996,368
4029,,1062,2190,9,84,388,9,90,1062,1062,81
4030,,1084,2340,9,89,402,10,93,986,1192,16530
4031,,1075,2281,9,87,397,10,92,1009,1147,13588
4032,,1010,1689,7,65,316,8,73,878,1151,15777
4034,,1020,1804,7,69,339,8,78,644,1152,44463
4035,,1092,2382,10,91,412,10,95,861,1174,24209
4036,,999,1531,6,59,292,7,68,959,1087,6502
4037,,1114,2484,10,95,424,10,98,1054,1157,7973
4051,,1096,2400,10,92,415,10,96,959,1180,27531
4053,,1054,2135,9,82,382,9,88,820,1153,43986
4054,,1027,1875,8,72,344,8,80,909,1129,13620
4055,,1086,2352,9,90,407,10,94,968,1185,20561
4059,,1086,2347,9,90,405,10,94,911,1162,13495
4060,,1136,2555,10,98,430,10,99,1028,1190,13039
4061,,1114,2481,10,95,423,10,98,1017,1180,16692
4064,,1137,2563,10,98,432,10,100,1069,1195,10837
4065,,1148,2588,10,99,434,10,100,1122,1177,9500
4066,,1117,2497,10,95,425,10,98,1054,1216,16698
4067,,1096,2397,10,92,414,10,96,1034,1178,10424
4068,,1105,2447,10,94,418,10,97,1017,1185,23617
4069,,1143,2572,10,98,433,10,100,1019,1214,33627
4070,,1110,2469,10,94,420,10,97,1030,1156,11613
4073,,1110,2466,10,94,419,10,97,896,1190,9138
4074,,1083,2334,9,89,401,10,93,1006,1166,23735
4075,,1086,2351,9,90,406,10,94,958,1172,23352
4076,,941,709,3,27,149,4,35,894,1008,8107
4077,,863,111,1,5,26,1,6,572,1068,30758
4078,,997,1513,6,58,290,7,67,689,1119,25806
4101,,1077,2293,9,88,400,10,92,915,1166,22861
4102,,1048,2075,8,79,378,9,87,923,1101,7660
4103,,1061,2180,9,83,386,9,89,987,1145,14316
4104,,1089,2364,9,90,411,10,95,975,1190,6535
4105,,1050,2099,8,80,380,9,88,960,1191,13321
4106,,947,805,4,31,167,4,39,896,984,1595
4107,,1029,1899,8,73,348,9,81,948,1104,6290
4108,,972,1154,5,44,226,6,52,878,1024,6028
4109,,1014,1743,7,67,328,8,76,835,1118,37607
4110,,936,645,3,25,136,4,32,659,1108,10918
4111,,1048,2077,8,79,379,9,88,1029,1061,1183
4112,,1046,2054,8,79,377,9,87,892,1119,8108
4113,,1031,1924,8,74,354,9,82,743,1156,29913
4114,,800,31,1,2,7,1,2,645,963,29064
4115,,1040,2009,8,77,370,9,86,915,1115,19308
4116,,1056,2142,9,82,383,9,89,1008,1126,25936
4117,,987,1361,6,52,261,7,61,881,1023,1365
4118,,961,980,4,38,199,5,46,814,1099,30400
4119,,1036,1974,8,76,362,9,84,924,1110,6341
4120,,1069,2239,9,86,396,10,92,1020,1145,8936
4121,,1087,2354,9,90,409,10,95,887,1166,25264
4122,,1039,1999,8,77,366,9,85,798,1176,43850
4123,,1043,2034,8,78,374,9,86,940,1181,18491
4124,,986,1345,6,52,257,6,60,878,1096,19672
4125,,977,1204,5,46,235,6,55,838,1068,7142
4127,,970,1125,5,43,219,6,51,772,1132,26373
4128,,1039,2006,8,77,369,9,85,918,1120,16506
4129,,985,1339,6,51,256,6,59,954,1028,6303
4130,,1063,2197,9,84,390,9,90,853,1129,8532
4131,,898,258,1,10,59,2,14,783,1014,10439
4132,,877,153,1,6,35,1,9,728,926,26215
4133,,938,674,3,26,140,4,33,769,1026,17769
4151,,1095,2394,10,92,413,10,95,1018,1174,16282
4152,,1087,2353,9,90,408,10,94,864,1197,44684
4153,,1085,2344,9,90,404,10,93,981,1146,4374
4154,,1133,2550,10,97,429,10,99,1059,1214,10974
4155,,1111,2473,10,95,422,10,98,1044,1148,1442
4156,,1122,2518,10,96,427,10,99,1106,1145,3146
4157,,1000,1535,6,59,293,7,68,862,1117,19035
4158,,983,1297,5,50,249,6,58,880,1090,3761
4159,,1031,1925,8,74,355,9,82,911,1140,14497
4160,,1065,2211,9,85,393,10,91,943,1156,18139
4161,,986,1347,6,52,258,6,60,891,1092,16254
4163,,1009,1687,7,65,314,8,73,868,1155,14801
4164,,1067,2227,9,85,394,10,91,844,1161,14694
4165,,1031,1919,8,73,352,9,81,910,1159,36815
4169,,1085,2341,9,90,403,10,93,954,1157,13995
4170,,1097,2409,10,92,416,10,96,779,1172,24514
4171,,1137,2560,10,98,431,10,100,1050,1200,15721
4172,,1067,2228,9,85,395,10,91,940,1162,4303
4173,,1018,1773,7,68,336,8,78,934,1075,8290
4174,,994,1474,6,57,283,7,66,914,1043,2385
4178,,1001,1547,6,59,297,7,69,575,1118,25208
4179,,1042,2025,8,77,373,9,86,866,1138,19291
4183,,930,570,3,22,120,3,28,852,1004,2102
4184,,829,58,1,3,12,1,3,731,935,6906
4205,,892,223,1,9,48,2,12,785,1024,5385
4207,,933,603,3,23,124,3,29,718,1104,55215
4208,,1026,1868,8,72,342,8,79,796,1136,19965
4209,,1002,1580,7,61,305,8,71,863,1160,50073
4210,,1030,1903,8,73,349,9,81,873,1112,19475
4211,,995,1476,6,57,284,7,66,739,1135,60801
